iter	Passed	Remaining
0	1	106
1	1	95
2	2	92
3	3	84
4	4	83
5	5	82
6	6	81
7	7	81
8	7	80
9	8	78
10	9	77
11	10	76
12	11	75
13	12	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	18	67
21	18	66
22	19	66
23	20	65
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
