iter	Passed	Remaining
0	146	146299
1	147	73747
2	148	49422
3	149	37266
4	150	29929
5	151	25060
6	151	21554
7	152	18921
8	153	16889
9	153	15245
10	155	13951
11	156	12853
12	156	11899
13	157	11094
14	158	10393
15	159	9805
16	160	9254
17	160	8770
18	161	8331
19	161	7932
20	162	7573
21	163	7254
22	163	6958
23	164	6690
24	165	6437
25	165	6210
26	166	5994
27	166	5794
28	167	5611
29	168	5435
30	168	5269
31	170	5143
32	171	5014
33	171	4879
34	172	4754
35	173	4636
36	173	4523
37	174	4419
38	175	4317
39	175	4220
40	176	4127
41	177	4038
42	177	3953
43	178	3876
44	179	3800
45	179	3726
46	180	3652
47	180	3586
48	181	3525
49	182	3471
50	183	3413
51	184	3361
52	185	3312
53	186	3259
54	186	3207
55	187	3156
56	187	3107
57	188	3059
58	189	3016
59	189	2973
60	190	2932
61	191	2893
62	191	2852
63	192	2820
64	193	2783
65	194	2751
66	195	2723
67	196	2690
68	196	2656
69	197	2628
70	198	2598
71	199	2574
72	200	2549
73	201	2520
74	202	2493
75	202	2465
76	204	2452
77	206	2435
78	206	2410
79	207	2385
80	208	2364
81	209	2340
82	209	2314
83	210	2296
84	211	2274
85	211	2252
86	212	2231
87	213	2210
88	214	2199
89	215	2179
90	216	2163
91	217	2145
92	218	2126
93	218	2110
94	219	2095
95	220	2078
96	230	2148
97	231	2133
98	232	2116
99	233	2099
100	233	2081
101	234	2064
102	235	2048
103	235	2032
104	236	2017
105	237	2002
106	238	1987
107	238	1971
108	239	1956
109	240	1942
110	240	1927
111	241	1914
112	242	1900
113	242	1886
114	243	1874
115	245	1867
116	245	1854
117	246	1842
118	247	1830
119	247	1818
120	248	1806
121	249	1797
122	250	1786
123	251	1774
124	251	1763
125	252	1752
126	253	1739
127	253	1728
128	254	1717
129	255	1706
130	255	1696
131	256	1688
132	257	1679
133	258	1670
134	259	1662
135	260	1655
136	261	1646
137	262	1639
138	263	1630
139	263	1620
140	264	1611
141	264	1601
142	265	1592
143	266	1582
144	267	1576
145	268	1568
146	269	1561
147	269	1554
148	270	1546
149	271	1538
150	272	1530
151	273	1523
152	274	1522
153	276	1519
154	277	1512
155	278	1504
156	279	1498
157	280	1492
158	280	1485
159	282	1482
160	282	1474
161	283	1468
162	284	1461
163	285	1454
164	286	1450
165	287	1443
166	288	1437
167	289	1435
168	290	1430
169	291	1424
170	292	1419
171	293	1413
172	294	1408
173	295	1404
174	296	1399
175	297	1393
176	298	1387
177	299	1383
178	300	1377
179	301	1372
180	302	1367
181	302	1361
182	303	1356
183	305	1352
184	306	1350
185	307	1344
186	308	1340
187	309	1334
188	309	1329
189	310	1323
190	311	1318
191	312	1313
192	313	1308
193	313	1303
194	314	1299
195	315	1294
196	316	1289
197	317	1284
198	317	1279
199	318	1274
200	319	1270
201	321	1268
202	321	1263
203	322	1259
204	323	1254
205	324	1250
206	325	1246
207	326	1242
208	327	1238
209	328	1234
210	329	1230
211	329	1225
212	330	1221
213	331	1218
214	332	1213
215	333	1208
216	341	1233
217	342	1229
218	343	1224
219	344	1220
220	345	1216
221	345	1212
222	346	1208
223	347	1204
224	348	1201
225	349	1198
226	351	1196
227	352	1193
228	353	1189
229	354	1187
230	355	1182
231	356	1179
232	356	1174
233	358	1172
234	358	1168
235	359	1164
236	360	1161
237	361	1157
238	362	1153
239	363	1149
240	364	1147
241	365	1144
242	366	1142
243	367	1138
244	368	1135
245	369	1131
246	370	1128
247	371	1125
248	371	1121
249	372	1118
250	373	1115
251	374	1111
252	375	1108
253	376	1104
254	377	1101
255	377	1098
256	378	1095
257	380	1093
258	381	1090
259	382	1087
260	382	1084
261	383	1080
262	384	1078
263	386	1076
264	387	1073
265	388	1070
266	389	1068
267	390	1065
268	390	1062
269	391	1059
270	392	1056
271	393	1054
272	395	1053
273	396	1050
274	397	1047
275	398	1045
276	399	1043
277	400	1041
278	401	1038
279	402	1034
280	403	1031
281	404	1028
282	404	1025
283	405	1022
284	406	1019
285	407	1016
286	407	1013
287	408	1010
288	409	1008
289	411	1006
290	411	1003
291	412	1000
292	413	997
293	414	994
294	415	992
295	415	989
296	416	986
297	417	983
298	418	980
299	418	977
300	419	974
301	420	971
302	421	969
303	422	966
304	422	963
305	424	961
306	425	960
307	426	957
308	427	955
309	428	952
310	429	950
311	429	947
312	430	945
313	431	943
314	432	940
315	433	938
316	434	935
317	434	932
318	435	930
319	436	927
320	437	925
321	438	922
322	439	920
323	440	919
324	441	916
325	442	914
326	443	911
327	444	909
328	444	907
329	445	905
330	446	902
331	447	900
332	448	898
333	449	895
334	449	893
335	450	890
336	451	888
337	452	885
338	453	883
339	454	881
340	455	880
341	456	878
342	457	876
343	458	874
344	459	872
345	460	870
346	461	868
347	462	865
348	462	863
349	463	861
350	464	858
351	465	856
352	466	854
353	467	852
354	468	850
355	469	848
356	470	847
357	471	845
358	472	843
359	473	841
360	474	839
361	474	836
362	475	834
363	476	832
364	477	830
365	478	828
366	479	826
367	480	824
368	481	822
369	481	820
370	482	818
371	483	816
372	484	814
373	485	812
374	486	810
375	487	809
376	488	807
377	489	805
378	491	804
379	492	802
380	492	800
381	493	798
382	495	797
383	496	796
384	497	794
385	498	793
386	499	791
387	501	790
388	502	788
389	503	787
390	504	785
391	505	784
392	506	782
393	507	780
394	508	779
395	509	777
396	510	775
397	512	774
398	513	773
399	514	772
400	515	770
401	516	769
402	518	767
403	519	766
404	520	765
405	521	763
406	522	761
407	523	759
408	524	757
409	525	755
410	525	753
411	527	752
412	528	750
413	529	749
414	530	747
415	531	745
416	532	743
417	532	742
418	533	740
419	534	738
420	535	737
421	536	735
422	537	733
423	539	732
424	540	730
425	540	728
426	541	726
427	542	725
428	543	723
429	545	722
430	545	720
431	546	718
432	547	717
433	548	715
434	549	713
435	550	712
436	551	711
437	552	709
438	553	707
439	554	705
440	555	704
441	556	702
442	558	702
443	559	701
444	561	699
445	561	698
446	562	696
447	564	694
448	564	693
449	566	692
450	566	690
451	567	688
452	568	686
453	569	684
454	569	682
455	570	681
456	571	679
457	572	677
458	573	676
459	574	674
460	575	673
